mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000094802.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046550.9	0	0	0	0	0	0	0	0	0	0	0	1.70914	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041633.15	17.5664	18.4114	13.7054	14.3616	20.7328	16.0292	15.8901	16.3507	15.0008	14.8171	15.5577	12.4022	9.85186	14.0519	4.74794	11.3884	8.82163	10.5285	8.68386	8.70657	12.4439	8.81224
ENSMUSG00000048573.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050148.10	29.5919	32.9141	24.0408	31.5949	27.6039	30.607	27.3508	27.7373	26.1521	31.9083	24.3807	31.0815	26.9576	24.1621	20.7096	28.8779	25.6496	30.437	25.3635	28.2404	31.3402	32.3895
ENSMUSG00000041658.13	0.752954	0.664721	3.27972	2.87854	1.20393	0.724999	0.714397	0.500192	0.928794	0.941825	0	2.83516	0	0.620883	0.985776	2.91978	0.975634	2.0191	1.00146	1.2593	2.83264	10.2539
ENSMUSG00000071665.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047238.5	0.628843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.527359	0	0
ENSMUSG00000067215.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323117	0	0
ENSMUSG00000025333.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025332.15	73.7754	85.993	82.6771	85.3383	72.761	105.118	75.874	101.239	65.4635	110.152	106.452	79.7116	67.0876	63.8988	46.8263	46.8387	41.1546	69.735	52.7621	46.813	84.8001	103.09
ENSMUSG00000041115.17	13.7075	12.5035	14.2013	13.6853	15.4703	12.7786	15.0575	11.3717	14.5804	10.2985	12.6789	8.95505	14.6343	11.0193	12.9686	10.6341	14.2778	10.5728	15.2587	10.135	18.1148	14.514
ENSMUSG00000041133.12	100.095	103.992	84.9828	113.414	87.706	99.965	88.9671	103.399	95.108	94.7282	112.405	115.103	95.7512	108.441	102.321	82.4719	85.4164	90.3383	86.7423	102.944	94.1407	114.89
ENSMUSG00000025257.6	1.16726	2.06255	0.483242	0.55823	0.934851	0	0	1.55223	0	0	0	0	0	0.482368	0.506849	2.49731	1.50595	0.5221	0.514172	1.95677	0.598374	0
ENSMUSG00000025260.11	87.6288	73.2255	77.578	43.8329	81.3703	45.2851	83.3981	44.0962	73.1697	55.4218	85.9979	63.3296	91.1883	43.6442	110.907	52.6301	103.921	65.4235	104.806	62.2978	65.9309	51.2406
ENSMUSG00000091863.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025262.9	0.747935	1.7153	1.48235	1.99988	2.14846	1.86797	1.55937	0.595647	0.982544	0.747357	2.48481	2.2434	1.69998	1.96863	0.518907	2.04235	1.28554	2.00389	1.05162	1.12295	0.766225	1.82099
ENSMUSG00000025264.13	6.15167	8.42774	6.03071	7.45573	4.88188	9.42294	2.47764	12.4265	2.50572	9.55788	2.2577	8.49512	1.87352	6.64911	6.25848	7.52577	8.39624	8.75022	6.15421	8.72474	5.5633	7.94135
ENSMUSG00000025272.17	0	0	0	0	0.098942	0.119105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041353.13	3.38325	5.98036	2.8848	4.11107	2.71185	4.55619	5.16281	8.3117	3.29695	3.50766	5.79591	0	2.6466	3.98454	5.79247	3.25661	5.20499	4.30939	3.61356	4.12415	1.89976	6.45207
ENSMUSG00000095082.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096834.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079374.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072931.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095872.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031290.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491162	0	0	0	0	0
ENSMUSG00000041380.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149921	0	0	0	0	0	1.22956	0
ENSMUSG00000041688.17	2.56916	5.64027	2.99812	6.87065	3.15177	9.37069	2.54499	12.4307	3.32806	7.89644	5.44362	8.6441	2.20081	13.9031	1.73162	6.83402	3.77088	5.99659	2.22135	6.17796	7.16089	8.54603
ENSMUSG00000072934.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210884	0	0	0	0.221175
ENSMUSG00000041710.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085139.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031284.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031283.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085584.4	0	0.177273	0	0.19192	0	0.579353	0	0.800289	0	0.167371	0	1.00455	0	1.15758	0	0	0	0	0	0.167699	0	0
